medicine_name,generic_name,category,sub_category,description,manufacturer,dosage_form,unit,requires_rx
Paracetamol,Acetaminophen,Painkiller,Analgesic,Relieves mild to moderate pain and reduces fever,Sun Pharma,tablet,tablet,0
Paracetamol 500mg,Acetaminophen,Painkiller,Analgesic,Standard dose paracetamol for adults,Cipla,tablet,tablet,0
Paracetamol 650mg,Acetaminophen,Painkiller,Analgesic,Extended release paracetamol,Dr. Reddy's,tablet,tablet,0
Paracetamol Syrup,Acetaminophen,Painkiller,Pediatric,Liquid paracetamol for children 125mg/5ml,Abbott,syrup,ml,0
Paracetamol Drops,Acetaminophen,Painkiller,Pediatric,Infant drops 100mg/ml,Mankind Pharma,drops,ml,0
Ibuprofen,Ibuprofen,Anti-inflammatory,NSAID,NSAID for pain inflammation and fever,Cipla,tablet,tablet,0
Ibuprofen 200mg,Ibuprofen,Anti-inflammatory,NSAID,Low dose ibuprofen OTC,Sun Pharma,tablet,tablet,0
Ibuprofen 400mg,Ibuprofen,Anti-inflammatory,NSAID,Standard NSAID tablet,Dr. Reddy's,tablet,tablet,0
Ibuprofen 600mg,Ibuprofen,Anti-inflammatory,NSAID,Prescription strength NSAID,Cipla,tablet,tablet,1
Ibuprofen Gel,Ibuprofen,Anti-inflammatory,Topical,Topical NSAID gel for joint pain,Glaxo,gel,g,0
Aspirin 75mg,Acetylsalicylic acid,Blood Thinner,Antiplatelet,Low dose antiplatelet for cardiac patients,Bayer,tablet,tablet,1
Aspirin 325mg,Acetylsalicylic acid,Painkiller,Analgesic,Standard aspirin for pain relief,Bayer,tablet,tablet,0
Amoxicillin 250mg,Amoxicillin,Antibiotic,Penicillin,Broad-spectrum penicillin for mild infections,Sun Pharma,capsule,capsule,1
Amoxicillin 500mg,Amoxicillin,Antibiotic,Penicillin,Standard dose amoxicillin,Cipla,capsule,capsule,1
Amoxicillin Syrup,Amoxicillin,Antibiotic,Pediatric,Amoxicillin suspension 125mg/5ml for children,Dr. Reddy's,syrup,ml,1
Amoxicillin-Clavulanate,Co-amoxiclav,Antibiotic,Penicillin,Augmented antibiotic for resistant infections,GSK,tablet,tablet,1
Azithromycin 250mg,Azithromycin,Antibiotic,Macrolide,Macrolide antibiotic 3-day course,Sun Pharma,tablet,tablet,1
Azithromycin 500mg,Azithromycin,Antibiotic,Macrolide,Single dose azithromycin,Cipla,tablet,tablet,1
Cetirizine 5mg,Cetirizine,Antihistamine,2nd Generation,Children's antihistamine,Sun Pharma,tablet,tablet,0
Cetirizine 10mg,Cetirizine,Antihistamine,2nd Generation,Standard antihistamine for adults,Cipla,tablet,tablet,0
Cetirizine Syrup,Cetirizine,Antihistamine,Pediatric,Antihistamine syrup 5mg/5ml,Abbott,syrup,ml,0
Loratadine 10mg,Loratadine,Antihistamine,2nd Generation,Non-drowsy 24-hour allergy relief,Bayer,tablet,tablet,0
Fexofenadine 120mg,Fexofenadine,Antihistamine,2nd Generation,Non-sedating antihistamine,Sanofi,tablet,tablet,0
Fexofenadine 180mg,Fexofenadine,Antihistamine,2nd Generation,Long-acting antihistamine,Sanofi,tablet,tablet,0
Metformin 500mg,Metformin,Diabetes,Biguanide,First-line Type 2 diabetes medication,Sun Pharma,tablet,tablet,1
Metformin 850mg,Metformin,Diabetes,Biguanide,High-dose metformin for diabetes,Cipla,tablet,tablet,1
Metformin 1000mg,Metformin,Diabetes,Biguanide,Maximum dose metformin,Dr. Reddy's,tablet,tablet,1
Metformin SR 500mg,Metformin,Diabetes,Biguanide,Slow-release metformin reduces GI side effects,Sun Pharma,tablet,tablet,1
Glibenclamide 5mg,Glibenclamide,Diabetes,Sulfonylurea,Sulfonylurea for Type 2 diabetes,Cipla,tablet,tablet,1
Glipizide 5mg,Glipizide,Diabetes,Sulfonylurea,Second generation sulfonylurea,Sun Pharma,tablet,tablet,1
Sitagliptin 100mg,Sitagliptin,Diabetes,DPP-4 Inhibitor,Incretin-based diabetes therapy,MSD,tablet,tablet,1
Insulin Glargine,Insulin glargine,Diabetes,Long-acting Insulin,Once-daily basal insulin analogue,Sanofi,injection,unit,1
Insulin Lispro,Insulin lispro,Diabetes,Rapid-acting Insulin,Meal-time rapid-acting insulin,Eli Lilly,injection,unit,1
Insulin Regular,Regular insulin,Diabetes,Short-acting Insulin,Standard human insulin,Novo Nordisk,injection,unit,1
Insulin NPH,NPH insulin,Diabetes,Intermediate Insulin,Intermediate-acting human insulin,Biocon,injection,unit,1
Omeprazole 20mg,Omeprazole,Antacid,PPI,Proton pump inhibitor for acid reflux,Sun Pharma,capsule,capsule,0
Omeprazole 40mg,Omeprazole,Antacid,PPI,High-dose PPI for GERD,Cipla,capsule,capsule,1
Pantoprazole 40mg,Pantoprazole,Antacid,PPI,PPI for gastric ulcers and GERD,Sun Pharma,tablet,tablet,1
Esomeprazole 20mg,Esomeprazole,Antacid,PPI,Newer PPI with improved acid control,AstraZeneca,capsule,capsule,1
Ranitidine 150mg,Ranitidine,Antacid,H2 Blocker,H2 receptor antagonist for acid,Cipla,tablet,tablet,0
Atorvastatin 10mg,Atorvastatin,Cholesterol,Statin,Low-dose statin for mild dyslipidaemia,Sun Pharma,tablet,tablet,1
Atorvastatin 20mg,Atorvastatin,Cholesterol,Statin,Standard statin dose,Cipla,tablet,tablet,1
Atorvastatin 40mg,Atorvastatin,Cholesterol,Statin,High-dose statin,Dr. Reddy's,tablet,tablet,1
Rosuvastatin 10mg,Rosuvastatin,Cholesterol,Statin,Potent statin for high LDL,AstraZeneca,tablet,tablet,1
Rosuvastatin 20mg,Rosuvastatin,Cholesterol,Statin,High-potency rosuvastatin,AstraZeneca,tablet,tablet,1
Amlodipine 5mg,Amlodipine,Blood Pressure,CCB,Calcium channel blocker for hypertension,Sun Pharma,tablet,tablet,1
Amlodipine 10mg,Amlodipine,Blood Pressure,CCB,Higher-dose CCB,Cipla,tablet,tablet,1
Losartan 50mg,Losartan,Blood Pressure,ARB,ARB for high blood pressure,Merck,tablet,tablet,1
Losartan 100mg,Losartan,Blood Pressure,ARB,High-dose ARB,Merck,tablet,tablet,1
Telmisartan 40mg,Telmisartan,Blood Pressure,ARB,Long-acting ARB 24-hour coverage,Boehringer,tablet,tablet,1
Enalapril 5mg,Enalapril,Blood Pressure,ACE Inhibitor,ACE inhibitor for hypertension,Sun Pharma,tablet,tablet,1
Lisinopril 10mg,Lisinopril,Blood Pressure,ACE Inhibitor,ACE inhibitor for hypertension & HF,Cipla,tablet,tablet,1
Metoprolol 25mg,Metoprolol,Blood Pressure,Beta Blocker,Cardioselective beta-1 blocker,Sun Pharma,tablet,tablet,1
Metoprolol 50mg,Metoprolol,Blood Pressure,Beta Blocker,Standard metoprolol dose,Cipla,tablet,tablet,1
Atenolol 50mg,Atenolol,Blood Pressure,Beta Blocker,Beta blocker for hypertension,Sun Pharma,tablet,tablet,1
Clopidogrel 75mg,Clopidogrel,Blood Thinner,Antiplatelet,ADP receptor blocker post-MI,Sanofi,tablet,tablet,1
Warfarin 2mg,Warfarin,Blood Thinner,Anticoagulant,Vitamin K antagonist anticoagulant,Cipla,tablet,tablet,1
Warfarin 5mg,Warfarin,Blood Thinner,Anticoagulant,Standard warfarin dose,Cipla,tablet,tablet,1
Levothyroxine 50mcg,Levothyroxine,Thyroid,Hormone Replacement,Synthetic T4 for hypothyroidism,Abbott,tablet,tablet,1
Levothyroxine 100mcg,Levothyroxine,Thyroid,Hormone Replacement,Standard levothyroxine dose,Abbott,tablet,tablet,1
Dexamethasone 0.5mg,Dexamethasone,Steroid,Corticosteroid,Potent anti-inflammatory,Cipla,tablet,tablet,1
Prednisolone 5mg,Prednisolone,Steroid,Corticosteroid,Oral steroid for inflammation,Sun Pharma,tablet,tablet,1
